Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount
723,2024-01-28,11050,13260,2024-04-28,610.0
723,2024-01-28,11050,13260,2024-05-05,600.0
723,2024-01-28,11050,13260,2024-05-12,600.0
723,2024-01-28,11050,13260,2024-05-19,610.0
723,2024-01-28,11050,13260,2024-05-26,600.0
723,2024-01-28,11050,13260,2024-06-02,600.0
723,2024-01-28,11050,13260,2024-06-09,600.0
723,2024-01-28,11050,13260,2024-06-16,600.0
723,2024-01-28,11050,13260,2024-06-23,600.0
723,2024-01-28,11050,13260,2024-06-30,520.0
724,2024-02-20,11000,14680,2024-02-27,610.0
724,2024-02-20,11000,14680,2024-03-05,615.0
724,2024-02-20,11000,14680,2024-03-12,610.0
724,2024-02-20,11000,14680,2024-03-19,615.0
724,2024-02-20,11000,14680,2024-03-26,610.0
724,2024-02-20,11000,14680,2024-04-02,610.0
724,2024-02-20,11000,14680,2024-04-09,630.0
724,2024-02-20,11000,14680,2024-04-16,610.0
724,2024-02-20,11000,14680,2024-04-23,610.0
724,2024-02-20,11000,14680,2024-04-30,610.0
724,2024-02-20,11000,14680,2024-05-07,610.0
724,2024-02-20,11000,14680,2024-05-14,615.0
724,2024-02-20,11000,14680,2024-05-21,610.0
724,2024-02-20,11000,14680,2024-05-28,615.0
724,2024-02-20,11000,14680,2024-06-04,615.0
724,2024-02-20,11000,14680,2024-06-11,610.0
724,2024-02-20,11000,14680,2024-06-18,610.0
724,2024-02-20,11000,14680,2024-06-25,610.0
724,2024-02-20,11000,14680,2024-07-02,610.0
724,2024-02-20,11000,14680,2024-07-09,610.0
724,2024-02-20,11000,14680,2024-07-16,610.0
724,2024-02-20,11000,14680,2024-07-23,0.0
724,2024-02-20,11000,14680,2024-07-30,1210.0
724,2024-02-20,11000,14680,2024-10-28,615.0
725,2024-02-20,14000,18600,2024-02-27,775.0
725,2024-02-20,14000,18600,2024-03-05,775.0
725,2024-02-20,14000,18600,2024-03-12,775.0
725,2024-02-20,14000,18600,2024-03-19,775.0
725,2024-02-20,14000,18600,2024-03-26,775.0
725,2024-02-20,14000,18600,2024-04-02,775.0
725,2024-02-20,14000,18600,2024-04-09,775.0
725,2024-02-20,14000,18600,2024-04-16,775.0
725,2024-02-20,14000,18600,2024-04-23,775.0
725,2024-02-20,14000,18600,2024-04-30,775.0
725,2024-02-20,14000,18600,2024-05-07,775.0
725,2024-02-20,14000,18600,2024-05-14,775.0
725,2024-02-20,14000,18600,2024-05-21,775.0
725,2024-02-20,14000,18600,2024-05-28,775.0
725,2024-02-20,14000,18600,2024-06-04,775.0
725,2024-02-20,14000,18600,2024-06-11,775.0
725,2024-02-20,14000,18600,2024-06-18,775.0
725,2024-02-20,14000,18600,2024-06-25,775.0
725,2024-02-20,14000,18600,2024-07-02,775.0
725,2024-02-20,14000,18600,2024-07-09,775.0
725,2024-02-20,14000,18600,2024-07-16,775.0
725,2024-02-20,14000,18600,2024-07-23,775.0
725,2024-02-20,14000,18600,2024-07-30,775.0
725,2024-02-20,14000,18600,2024-08-06,775.0
726,2024-02-20,8000,10720,2024-02-27,447.0
726,2024-02-20,8000,10720,2024-03-05,447.0
726,2024-02-20,8000,10720,2024-03-12,447.0
726,2024-02-20,8000,10720,2024-03-19,447.0
726,2024-02-20,8000,10720,2024-03-26,447.0
726,2024-02-20,8000,10720,2024-04-02,447.0
726,2024-02-20,8000,10720,2024-04-09,447.0
726,2024-02-20,8000,10720,2024-04-16,447.0
726,2024-02-20,8000,10720,2024-04-23,447.0
726,2024-02-20,8000,10720,2024-04-30,447.0
726,2024-02-20,8000,10720,2024-05-07,447.0
726,2024-02-20,8000,10720,2024-05-14,447.0
726,2024-02-20,8000,10720,2024-05-21,447.0
726,2024-02-20,8000,10720,2024-05-28,447.0
726,2024-02-20,8000,10720,2024-06-04,447.0
726,2024-02-20,8000,10720,2024-06-11,447.0
726,2024-02-20,8000,10720,2024-06-18,447.0
726,2024-02-20,8000,10720,2024-06-25,447.0
726,2024-02-20,8000,10720,2024-07-02,447.0
726,2024-02-20,8000,10720,2024-07-09,447.0
726,2024-02-20,8000,10720,2024-07-16,447.0
726,2024-02-20,8000,10720,2024-07-23,0.0
726,2024-02-20,8000,10720,2024-07-30,886.0
726,2024-02-20,8000,10720,2024-10-28,447.0
727,2024-02-20,16100,21390,2024-02-27,900.0
727,2024-02-20,16100,21390,2024-03-05,900.0
727,2024-02-20,16100,21390,2024-03-12,900.0
727,2024-02-20,16100,21390,2024-03-19,900.0
727,2024-02-20,16100,21390,2024-03-26,900.0
727,2024-02-20,16100,21390,2024-04-02,900.0
727,2024-02-20,16100,21390,2024-04-09,900.0
727,2024-02-20,16100,21390,2024-04-16,900.0
727,2024-02-20,16100,21390,2024-04-23,900.0
727,2024-02-20,16100,21390,2024-04-30,900.0
727,2024-02-20,16100,21390,2024-05-07,900.0
727,2024-02-20,16100,21390,2024-05-14,900.0
727,2024-02-20,16100,21390,2024-05-21,900.0
727,2024-02-20,16100,21390,2024-05-28,900.0
727,2024-02-20,16100,21390,2024-06-04,900.0
727,2024-02-20,16100,21390,2024-06-11,900.0
727,2024-02-20,16100,21390,2024-06-18,900.0
727,2024-02-20,16100,21390,2024-06-25,900.0
727,2024-02-20,16100,21390,2024-07-02,900.0
727,2024-02-20,16100,21390,2024-07-09,900.0
727,2024-02-20,16100,21390,2024-07-16,900.0
727,2024-02-20,16100,21390,2024-07-23,900.0
727,2024-02-20,16100,21390,2024-07-30,900.0
727,2024-02-20,16100,21390,2024-08-06,690.0
728,2024-02-22,11000,14680,2024-02-29,612.0
728,2024-02-22,11000,14680,2024-03-07,612.0
728,2024-02-22,11000,14680,2024-03-14,612.0
728,2024-02-22,11000,14680,2024-03-21,612.0
728,2024-02-22,11000,14680,2024-03-28,612.0
728,2024-02-22,11000,14680,2024-04-04,612.0
728,2024-02-22,11000,14680,2024-04-11,612.0
728,2024-02-22,11000,14680,2024-04-18,612.0
728,2024-02-22,11000,14680,2024-04-25,100.0
728,2024-02-22,11000,14680,2024-05-02,2000.0
728,2024-02-22,11000,14680,2024-05-16,100.0
728,2024-02-22,11000,14680,2024-05-23,100.0
728,2024-02-22,11000,14680,2024-05-30,100.0
728,2024-02-22,11000,14680,2024-06-06,2148.0
728,2024-02-22,11000,14680,2024-06-13,612.0
728,2024-02-22,11000,14680,2024-06-20,100.0
728,2024-02-22,11000,14680,2024-06-27,612.0
728,2024-02-22,11000,14680,2024-07-04,100.0
728,2024-02-22,11000,14680,2024-07-11,612.0
728,2024-02-22,11000,14680,2024-07-18,612.0
728,2024-02-22,11000,14680,2024-07-25,612.0
728,2024-02-22,11000,14680,2024-08-01,100.0
728,2024-02-22,11000,14680,2024-08-08,1985.0
729,2024-02-27,16100,21390,2024-03-05,892.0
729,2024-02-27,16100,21390,2024-03-12,892.0
729,2024-02-27,16100,21390,2024-03-19,892.0
729,2024-02-27,16100,21390,2024-03-26,892.0
729,2024-02-27,16100,21390,2024-04-02,892.0
729,2024-02-27,16100,21390,2024-04-09,892.0
